"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Angola","Adults (15-49) estimate","2012","UNAIDS_Spectrum Estimates_","Rate","0.27",""
"Angola","Adults (15-49) estimate","2011","UNAIDS_Spectrum Estimates_","Rate","0.27",""
"Angola","Adults (15-49) estimate","2010","UNAIDS_Spectrum Estimates_","Rate","0.27",""
"Angola","Adults (15-49) estimate","2009","UNAIDS_Spectrum Estimates_","Rate","0.26",""
"Angola","Adults (15-49) estimate","2008","UNAIDS_Spectrum Estimates_","Rate","0.26",""
"Angola","Adults (15-49) estimate","2007","UNAIDS_Spectrum Estimates_","Rate","0.25",""
"Angola","Adults (15-49) estimate","2006","UNAIDS_Spectrum Estimates_","Rate","0.26",""
"Angola","Adults (15-49) estimate","2005","UNAIDS_Spectrum Estimates_","Rate","0.26",""
"Angola","Adults (15-49) estimate","2004","UNAIDS_Spectrum Estimates_","Rate","0.26",""
"Angola","Adults (15-49) estimate","2003","UNAIDS_Spectrum Estimates_","Rate","0.26",""
"Angola","Adults (15-49) estimate","2002","UNAIDS_Spectrum Estimates_","Rate","0.27",""
"Angola","Adults (15-49) estimate","2001","UNAIDS_Spectrum Estimates_","Rate","0.26",""
"Angola","Adults (15-49) estimate","2000","UNAIDS_Spectrum Estimates_","Rate","0.26",""
"Angola","Adults (15-49) estimate","1999","UNAIDS_Spectrum Estimates_","Rate","0.26",""
"Angola","Adults (15-49) estimate","1998","UNAIDS_Spectrum Estimates_","Rate","0.25",""
"Angola","Adults (15-49) estimate","1997","UNAIDS_Spectrum Estimates_","Rate","0.25",""
"Angola","Adults (15-49) estimate","1996","UNAIDS_Spectrum Estimates_","Rate","0.24",""
"Angola","Adults (15-49) estimate","1995","UNAIDS_Spectrum Estimates_","Rate","0.24",""
"Angola","Adults (15-49) estimate","1994","UNAIDS_Spectrum Estimates_","Rate","0.23",""
"Angola","Adults (15-49) estimate","1993","UNAIDS_Spectrum Estimates_","Rate","0.22",""
"Angola","Adults (15-49) estimate","1992","UNAIDS_Spectrum Estimates_","Rate","0.2",""
"Angola","Adults (15-49) estimate","1991","UNAIDS_Spectrum Estimates_","Rate","0.18",""
"Angola","Adults (15-49) estimate","1990","UNAIDS_Spectrum Estimates_","Rate","0.16",""
"Angola","Adults (15-49) lower estimate","2012","UNAIDS_Spectrum Estimates_","Rate","0.19",""
"Angola","Adults (15-49) lower estimate","2011","UNAIDS_Spectrum Estimates_","Rate","0.21",""
"Angola","Adults (15-49) lower estimate","2010","UNAIDS_Spectrum Estimates_","Rate","0.2",""
"Angola","Adults (15-49) lower estimate","2009","UNAIDS_Spectrum Estimates_","Rate","0.2",""
"Angola","Adults (15-49) lower estimate","2008","UNAIDS_Spectrum Estimates_","Rate","0.2",""
"Angola","Adults (15-49) lower estimate","2007","UNAIDS_Spectrum Estimates_","Rate","0.2",""
"Angola","Adults (15-49) lower estimate","2006","UNAIDS_Spectrum Estimates_","Rate","0.21",""
"Angola","Adults (15-49) lower estimate","2005","UNAIDS_Spectrum Estimates_","Rate","0.21",""
"Angola","Adults (15-49) lower estimate","2004","UNAIDS_Spectrum Estimates_","Rate","0.21",""
"Angola","Adults (15-49) lower estimate","2003","UNAIDS_Spectrum Estimates_","Rate","0.21",""
"Angola","Adults (15-49) lower estimate","2002","UNAIDS_Spectrum Estimates_","Rate","0.2",""
"Angola","Adults (15-49) lower estimate","2001","UNAIDS_Spectrum Estimates_","Rate","0.19",""
"Angola","Adults (15-49) lower estimate","2000","UNAIDS_Spectrum Estimates_","Rate","0.19",""
"Angola","Adults (15-49) lower estimate","1999","UNAIDS_Spectrum Estimates_","Rate","0.19",""
"Angola","Adults (15-49) lower estimate","1998","UNAIDS_Spectrum Estimates_","Rate","0.18",""
"Angola","Adults (15-49) lower estimate","1997","UNAIDS_Spectrum Estimates_","Rate","0.18",""
"Angola","Adults (15-49) lower estimate","1996","UNAIDS_Spectrum Estimates_","Rate","0.17",""
"Angola","Adults (15-49) lower estimate","1995","UNAIDS_Spectrum Estimates_","Rate","0.17",""
"Angola","Adults (15-49) lower estimate","1994","UNAIDS_Spectrum Estimates_","Rate","0.16",""
"Angola","Adults (15-49) lower estimate","1993","UNAIDS_Spectrum Estimates_","Rate","0.15",""
"Angola","Adults (15-49) lower estimate","1992","UNAIDS_Spectrum Estimates_","Rate","0.14",""
"Angola","Adults (15-49) lower estimate","1991","UNAIDS_Spectrum Estimates_","Rate","0.12",""
"Angola","Adults (15-49) lower estimate","1990","UNAIDS_Spectrum Estimates_","Rate","0.11",""
"Angola","Adults (15-49) upper estimate","2012","UNAIDS_Spectrum Estimates_","Rate","0.35",""
"Angola","Adults (15-49) upper estimate","2011","UNAIDS_Spectrum Estimates_","Rate","0.36",""
"Angola","Adults (15-49) upper estimate","2010","UNAIDS_Spectrum Estimates_","Rate","0.35",""
"Angola","Adults (15-49) upper estimate","2009","UNAIDS_Spectrum Estimates_","Rate","0.34",""
"Angola","Adults (15-49) upper estimate","2008","UNAIDS_Spectrum Estimates_","Rate","0.34",""
"Angola","Adults (15-49) upper estimate","2007","UNAIDS_Spectrum Estimates_","Rate","0.33",""
"Angola","Adults (15-49) upper estimate","2006","UNAIDS_Spectrum Estimates_","Rate","0.34",""
"Angola","Adults (15-49) upper estimate","2005","UNAIDS_Spectrum Estimates_","Rate","0.34",""
"Angola","Adults (15-49) upper estimate","2004","UNAIDS_Spectrum Estimates_","Rate","0.34",""
"Angola","Adults (15-49) upper estimate","2003","UNAIDS_Spectrum Estimates_","Rate","0.34",""
"Angola","Adults (15-49) upper estimate","2002","UNAIDS_Spectrum Estimates_","Rate","0.35",""
"Angola","Adults (15-49) upper estimate","2001","UNAIDS_Spectrum Estimates_","Rate","0.35",""
"Angola","Adults (15-49) upper estimate","2000","UNAIDS_Spectrum Estimates_","Rate","0.36",""
"Angola","Adults (15-49) upper estimate","1999","UNAIDS_Spectrum Estimates_","Rate","0.38",""
"Angola","Adults (15-49) upper estimate","1998","UNAIDS_Spectrum Estimates_","Rate","0.39",""
"Angola","Adults (15-49) upper estimate","1997","UNAIDS_Spectrum Estimates_","Rate","0.38",""
"Angola","Adults (15-49) upper estimate","1996","UNAIDS_Spectrum Estimates_","Rate","0.39",""
"Angola","Adults (15-49) upper estimate","1995","UNAIDS_Spectrum Estimates_","Rate","0.38",""
"Angola","Adults (15-49) upper estimate","1994","UNAIDS_Spectrum Estimates_","Rate","0.35",""
"Angola","Adults (15-49) upper estimate","1993","UNAIDS_Spectrum Estimates_","Rate","0.33",""
"Angola","Adults (15-49) upper estimate","1992","UNAIDS_Spectrum Estimates_","Rate","0.3",""
"Angola","Adults (15-49) upper estimate","1991","UNAIDS_Spectrum Estimates_","Rate","0.27",""
"Angola","Adults (15-49) upper estimate","1990","UNAIDS_Spectrum Estimates_","Rate","0.23",""
"Armenia","Adults (15-49) estimate","2012","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) estimate","2011","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) estimate","2010","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) estimate","2009","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) estimate","2008","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) estimate","2007","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) estimate","2006","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) estimate","2005","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) estimate","2004","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) estimate","2003","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) estimate","2002","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) estimate","2001","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) estimate","2000","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) estimate","1999","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) estimate","1998","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) estimate","1997","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) estimate","1996","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) estimate","1995","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) estimate","1994","UNAIDS_Spectrum Estimates_","Rate","0",""
"Armenia","Adults (15-49) estimate","1993","UNAIDS_Spectrum Estimates_","Rate","0",""
"Armenia","Adults (15-49) estimate","1992","UNAIDS_Spectrum Estimates_","Rate","0",""
"Armenia","Adults (15-49) estimate","1991","UNAIDS_Spectrum Estimates_","Rate","0",""
"Armenia","Adults (15-49) estimate","1990","UNAIDS_Spectrum Estimates_","Rate","0",""
"Armenia","Adults (15-49) lower estimate","2012","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) lower estimate","2011","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) lower estimate","2010","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) lower estimate","2009","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) lower estimate","2008","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) lower estimate","2007","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) lower estimate","2006","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) lower estimate","2005","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) lower estimate","2004","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) lower estimate","2003","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) lower estimate","2002","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) lower estimate","2001","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) lower estimate","2000","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) lower estimate","1999","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) lower estimate","1998","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) lower estimate","1997","UNAIDS_Spectrum Estimates_","Rate","0.01",""
"Armenia","Adults (15-49) lower estimate","1996","UNAIDS_Spectrum Estimates_","Rate","0",""
"Armenia","Adults (15-49) lower estimate","1995","UNAIDS_Spectrum Estimates_","Rate","0",""
"Armenia","Adults (15-49) lower estimate","1994","UNAIDS_Spectrum Estimates_","Rate","0",""
"Armenia","Adults (15-49) lower estimate","1993","UNAIDS_Spectrum Estimates_","Rate","0",""
"Armenia","Adults (15-49) lower estimate","1992","UNAIDS_Spectrum Estimates_","Rate","0",""
"Armenia","Adults (15-49) lower estimate","1991","UNAIDS_Spectrum Estimates_","Rate","0",""
"Armenia","Adults (15-49) lower estimate","1990","UNAIDS_Spectrum Estimates_","Rate","0",""
"Armenia","Adults (15-49) upper estimate","2012","UNAIDS_Spectrum Estimates_","Rate","0.04",""
"Armenia","Adults (15-49) upper estimate","2011","UNAIDS_Spectrum Estimates_","Rate","0.04",""
"Armenia","Adults (15-49) upper estimate","2010","UNAIDS_Spectrum Estimates_","Rate","0.04",""
"Armenia","Adults (15-49) upper estimate","2009","UNAIDS_Spectrum Estimates_","Rate","0.04",""
"Armenia","Adults (15-49) upper estimate","2008","UNAIDS_Spectrum Estimates_","Rate","0.04",""
"Armenia","Adults (15-49) upper estimate","2007","UNAIDS_Spectrum Estimates_","Rate","0.03",""
"Armenia","Adults (15-49) upper estimate","2006","UNAIDS_Spectrum Estimates_","Rate","0.03",""
"Armenia","Adults (15-49) upper estimate","2005","UNAIDS_Spectrum Estimates_","Rate","0.03",""
"Armenia","Adults (15-49) upper estimate","2004","UNAIDS_Spectrum Estimates_","Rate","0.04",""
"Armenia","Adults (15-49) upper estimate","2003","UNAIDS_Spectrum Estimates_","Rate","0.05",""
"Armenia","Adults (15-49) upper estimate","2002","UNAIDS_Spectrum Estimates_","Rate","0.07",""
"Armenia","Adults (15-49) upper estimate","2001","UNAIDS_Spectrum Estimates_","Rate","0.07",""
"Armenia","Adults (15-49) upper estimate","2000","UNAIDS_Spectrum Estimates_","Rate","0.08",""
"Armenia","Adults (15-49) upper estimate","1999","UNAIDS_Spectrum Estimates_","Rate","0.08",""
"Armenia","Adults (15-49) upper estimate","1998","UNAIDS_Spectrum Estimates_","Rate","0.09",""
"Armenia","Adults (15-49) upper estimate","1997","UNAIDS_Spectrum Estimates_","Rate","0.16",""
"Armenia","Adults (15-49) upper estimate","1996","UNAIDS_Spectrum Estimates_","Rate","0.16",""
"Armenia","Adults (15-49) upper estimate","1995","UNAIDS_Spectrum Estimates_","Rate","0.05",""
"Armenia","Adults (15-49) upper estimate","1994","UNAIDS_Spectrum Estimates_","Rate","0.04",""
"Armenia","Adults (15-49) upper estimate","1993","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) upper estimate","1992","UNAIDS_Spectrum Estimates_","Rate","0.02",""
"Armenia","Adults (15-49) upper estimate","1991","UNAIDS_Spectrum Estimates_","Rate","0.03",""
"Armenia","Adults (15-49) upper estimate","1990","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bahamas","Adults (15-49) estimate","2012","UNAIDS_Spectrum Estimates_","Rate","0.15",""
"Bahamas","Adults (15-49) estimate","2011","UNAIDS_Spectrum Estimates_","Rate","0.23",""
"Bahamas","Adults (15-49) estimate","2010","UNAIDS_Spectrum Estimates_","Rate","0.24",""
"Bahamas","Adults (15-49) estimate","2009","UNAIDS_Spectrum Estimates_","Rate","0.25",""
"Bahamas","Adults (15-49) estimate","2008","UNAIDS_Spectrum Estimates_","Rate","0.27",""
"Bahamas","Adults (15-49) estimate","2007","UNAIDS_Spectrum Estimates_","Rate","0.26",""
"Bahamas","Adults (15-49) estimate","2006","UNAIDS_Spectrum Estimates_","Rate","0.27",""
"Bahamas","Adults (15-49) estimate","2005","UNAIDS_Spectrum Estimates_","Rate","0.27",""
"Bahamas","Adults (15-49) estimate","2004","UNAIDS_Spectrum Estimates_","Rate","0.27",""
"Bahamas","Adults (15-49) estimate","2003","UNAIDS_Spectrum Estimates_","Rate","0.32",""
"Bahamas","Adults (15-49) estimate","2002","UNAIDS_Spectrum Estimates_","Rate","0.34",""
"Bahamas","Adults (15-49) estimate","2001","UNAIDS_Spectrum Estimates_","Rate","0.35",""
"Bahamas","Adults (15-49) estimate","2000","UNAIDS_Spectrum Estimates_","Rate","0.36",""
"Bahamas","Adults (15-49) estimate","1999","UNAIDS_Spectrum Estimates_","Rate","0.37",""
"Bahamas","Adults (15-49) estimate","1998","UNAIDS_Spectrum Estimates_","Rate","0.39",""
"Bahamas","Adults (15-49) estimate","1997","UNAIDS_Spectrum Estimates_","Rate","0.4",""
"Bahamas","Adults (15-49) estimate","1996","UNAIDS_Spectrum Estimates_","Rate","0.42",""
"Bahamas","Adults (15-49) estimate","1995","UNAIDS_Spectrum Estimates_","Rate","0.43",""
"Bahamas","Adults (15-49) estimate","1994","UNAIDS_Spectrum Estimates_","Rate","0.44",""
"Bahamas","Adults (15-49) estimate","1993","UNAIDS_Spectrum Estimates_","Rate","0.45",""
"Bahamas","Adults (15-49) estimate","1992","UNAIDS_Spectrum Estimates_","Rate","0.44",""
"Bahamas","Adults (15-49) estimate","1991","UNAIDS_Spectrum Estimates_","Rate","0.42",""
"Bahamas","Adults (15-49) estimate","1990","UNAIDS_Spectrum Estimates_","Rate","0.38",""
"Bahamas","Adults (15-49) lower estimate","2012","UNAIDS_Spectrum Estimates_","Rate","0.11",""
"Bahamas","Adults (15-49) lower estimate","2011","UNAIDS_Spectrum Estimates_","Rate","0.2",""
"Bahamas","Adults (15-49) lower estimate","2010","UNAIDS_Spectrum Estimates_","Rate","0.21",""
"Bahamas","Adults (15-49) lower estimate","2009","UNAIDS_Spectrum Estimates_","Rate","0.23",""
"Bahamas","Adults (15-49) lower estimate","2008","UNAIDS_Spectrum Estimates_","Rate","0.25",""
"Bahamas","Adults (15-49) lower estimate","2007","UNAIDS_Spectrum Estimates_","Rate","0.25",""
"Bahamas","Adults (15-49) lower estimate","2006","UNAIDS_Spectrum Estimates_","Rate","0.26",""
"Bahamas","Adults (15-49) lower estimate","2005","UNAIDS_Spectrum Estimates_","Rate","0.26",""
"Bahamas","Adults (15-49) lower estimate","2004","UNAIDS_Spectrum Estimates_","Rate","0.25",""
"Bahamas","Adults (15-49) lower estimate","2003","UNAIDS_Spectrum Estimates_","Rate","0.31",""
"Bahamas","Adults (15-49) lower estimate","2002","UNAIDS_Spectrum Estimates_","Rate","0.33",""
"Bahamas","Adults (15-49) lower estimate","2001","UNAIDS_Spectrum Estimates_","Rate","0.34",""
"Bahamas","Adults (15-49) lower estimate","2000","UNAIDS_Spectrum Estimates_","Rate","0.35",""
"Bahamas","Adults (15-49) lower estimate","1999","UNAIDS_Spectrum Estimates_","Rate","0.36",""
"Bahamas","Adults (15-49) lower estimate","1998","UNAIDS_Spectrum Estimates_","Rate","0.37",""
"Bahamas","Adults (15-49) lower estimate","1997","UNAIDS_Spectrum Estimates_","Rate","0.38",""
"Bahamas","Adults (15-49) lower estimate","1996","UNAIDS_Spectrum Estimates_","Rate","0.39",""
"Bahamas","Adults (15-49) lower estimate","1995","UNAIDS_Spectrum Estimates_","Rate","0.4",""
"Bahamas","Adults (15-49) lower estimate","1994","UNAIDS_Spectrum Estimates_","Rate","0.41",""
"Bahamas","Adults (15-49) lower estimate","1993","UNAIDS_Spectrum Estimates_","Rate","0.41",""
"Bahamas","Adults (15-49) lower estimate","1992","UNAIDS_Spectrum Estimates_","Rate","0.39",""
"Bahamas","Adults (15-49) lower estimate","1991","UNAIDS_Spectrum Estimates_","Rate","0.35",""
"Bahamas","Adults (15-49) lower estimate","1990","UNAIDS_Spectrum Estimates_","Rate","0.31",""
"Bahamas","Adults (15-49) upper estimate","2012","UNAIDS_Spectrum Estimates_","Rate","0.21",""
"Bahamas","Adults (15-49) upper estimate","2011","UNAIDS_Spectrum Estimates_","Rate","0.28",""
"Bahamas","Adults (15-49) upper estimate","2010","UNAIDS_Spectrum Estimates_","Rate","0.27",""
"Bahamas","Adults (15-49) upper estimate","2009","UNAIDS_Spectrum Estimates_","Rate","0.28",""
"Bahamas","Adults (15-49) upper estimate","2008","UNAIDS_Spectrum Estimates_","Rate","0.28",""
"Bahamas","Adults (15-49) upper estimate","2007","UNAIDS_Spectrum Estimates_","Rate","0.28",""
"Bahamas","Adults (15-49) upper estimate","2006","UNAIDS_Spectrum Estimates_","Rate","0.29",""
"Bahamas","Adults (15-49) upper estimate","2005","UNAIDS_Spectrum Estimates_","Rate","0.29",""
"Bahamas","Adults (15-49) upper estimate","2004","UNAIDS_Spectrum Estimates_","Rate","0.28",""
"Bahamas","Adults (15-49) upper estimate","2003","UNAIDS_Spectrum Estimates_","Rate","0.34",""
"Bahamas","Adults (15-49) upper estimate","2002","UNAIDS_Spectrum Estimates_","Rate","0.35",""
"Bahamas","Adults (15-49) upper estimate","2001","UNAIDS_Spectrum Estimates_","Rate","0.36",""
"Bahamas","Adults (15-49) upper estimate","2000","UNAIDS_Spectrum Estimates_","Rate","0.38",""
"Bahamas","Adults (15-49) upper estimate","1999","UNAIDS_Spectrum Estimates_","Rate","0.4",""
"Bahamas","Adults (15-49) upper estimate","1998","UNAIDS_Spectrum Estimates_","Rate","0.42",""
"Bahamas","Adults (15-49) upper estimate","1997","UNAIDS_Spectrum Estimates_","Rate","0.44",""
"Bahamas","Adults (15-49) upper estimate","1996","UNAIDS_Spectrum Estimates_","Rate","0.46",""
"Bahamas","Adults (15-49) upper estimate","1995","UNAIDS_Spectrum Estimates_","Rate","0.47",""
"Bahamas","Adults (15-49) upper estimate","1994","UNAIDS_Spectrum Estimates_","Rate","0.47",""
"Bahamas","Adults (15-49) upper estimate","1993","UNAIDS_Spectrum Estimates_","Rate","0.47",""
"Bahamas","Adults (15-49) upper estimate","1992","UNAIDS_Spectrum Estimates_","Rate","0.46",""
"Bahamas","Adults (15-49) upper estimate","1991","UNAIDS_Spectrum Estimates_","Rate","0.45",""
"Bahamas","Adults (15-49) upper estimate","1990","UNAIDS_Spectrum Estimates_","Rate","0.43",""
"Bangladesh","Adults (15-49) estimate","2012","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","2011","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","2010","UNAIDS_Spectrum Estimates_","Rate","0",""
"Bangladesh","Adults (15-49) estimate","2009","UNAIDS_Spectrum Estimates_","Rate","0",""
